parallax,spect_type  ,vmag ,bv_color
0.86,G8III       ,7.91,1.131
11.59,G2/G3V      ,8.72,0.656
5.93,F0V         ,9.36,0.456
7.86,F5V         ,7.83,0.463
6.2,K1III       ,8.6,1.08
1.38,M2/M3III:   ,8.66,1.744
4.17,K2III       ,8.14,1.237
4.53,A2V         ,8.67,0.123
13.66,F3IV/V      ,6.93,0.38
0.59,K1/K2III:   ,9.15,1.356
4.54,F5V         ,9.18,0.529
3.53,K3/K4III    ,6.37,1.528
2.43,K0III       ,8.88,1.119
2.62,K3III:      ,8.9,1.747
4.33,F6V         ,8.87,0.524
14.32,F5IV/V      ,7.3,0.418
27.57,K2/K3V:     ,9.68,1.016
2.95,B5          ,11.25,-0.045
6.36,K2III       ,8.88,1.047
4.67,A4m...      ,8.44,0.445
7.72,G8IV        ,8.14,0.918
9.72,F0/F2V      ,7.6,0.391
2.34,K0III       ,7.92,1.06
16.97,K           ,9.95,0.808
3.68,G8/K0III    ,8.77,1.222
23.23,A9IV/V      ,4.13,0.208
45.21,M           ,9.96,1.05
3.62,K0III       ,7.48,1.216
4.7,K3/K4III    ,6.39,1.402
4.57,K2/K3III    ,8.92,1.307
1.38,A2/A3IV     ,9.13,0.239
6.22,G0V         ,9.9,0.574
7.74,F5V         ,9.32,0.492
10.05,F6V         ,9.07,0.464
2.52,B9.5V       ,8.54,0.16
29.33,G5V         ,7.88,0.667
5.58,F0IV/V      ,8.97,0.375
3.16,G0          ,10.32,0.709
5.13,K5III       ,5.89,1.692
11.75,F6V         ,8.28,0.501
2.74,K3/K4III    ,7.85,1.472
21.26,            ,11.96,        
22.2,G8IV/V      ,8.46,0.774
6.55,F7V         ,9.3,0.53
6.3,A2IV/Vm...  ,8.5,0.288
3.62,K2/K3III    ,8.43,1.623
6.54,F8V         ,8.82,0.546
5.65,A4/A5III    ,7.61,0.253
3.67,F0IV/V      ,9.37,0.427
12.63,            ,10.58,0.919
4.84,F0IV        ,9.02,0.488
4.07,A0Vn        ,8.73,0.152
6.27,G6V         ,9.6,0.76
-6.97,            ,11.87,0.605
3.97,Ap SrEuCr   ,7.77,0.124
2.66,B8/B9V      ,9.63,0.046
-0.07,A0V         ,9.02,0.087
5.75,K0III       ,7.21,1.03
8.23,G0V         ,8.42,0.59
3.7,K0III       ,8.43,1.169
3.92,K0III       ,8.55,1.078
5.46,F3IV/V      ,9.05,0.541
8.38,F0V         ,7.84,0.347
2.65,G3/G5II     ,7.81,0.887
17.65,G8/K0V:     ,9.65,0.786
7.85,A9V         ,7.7,0.26
4.36,K3III       ,7.25,1.424
6.18,A9IV        ,7.12,0.317
2.92,M2III       ,7.84,1.689
4.59,K0III       ,7.56,1.107
3.89,A4m...      ,7.2,0.279
32.38,K1V         ,8.95,0.888
12.96,G3V         ,9.31,0.603
23.36,A2m...      ,4.89,0.243
3.48,B9.5V       ,9.03,0.083
9.12,F6V         ,9.56,0.508
4.3,K2III       ,8.6,1.201
6.02,Fm...       ,9.6,0.48
3.4,F0V         ,9.52,0.349
6.19,G6/G8II     ,5.76,1.122
14.06,G2V         ,8.44,0.7
4.91,F2IV/V      ,9.41,0.333
6.05,B5V         ,5.07,-0.139
2.98,K2III       ,9.01,1.44
2.9,Ap...       ,8.03,0.197
8.24,F6IV        ,8.77,0.449
4.8,G0/G1       ,10,0.535
5.3,G8III/IV    ,7.97,1.041
9.58,G3V         ,9.19,0.643
12.93,G8III       ,5.67,1.018
5.6,K4III       ,6.43,1.498
6.51,F2V         ,9.3,0.381
3.11,K3III       ,8.3,1.399
9.73,G3V         ,9.15,0.689
4.06,G3V         ,9.56,0.6
2.56,K2III       ,8.8,1.27
3.68,A8V         ,9.11,0.42
4.02,M3III       ,5.83,1.617
2.9,G8/K0III    ,8.36,1.107
9.46,F5V         ,9.17,0.46
5.35,K1III       ,8.28,1.155
4.62,K3III       ,7.75,1.341
0.77,B4II        ,8.1,-0.065
6.38,K0IIICN...  ,7.34,1.116
13.16,G2V         ,9.15,0.618
8.07,A5III       ,5.61,0.214
2.07,G8III       ,8.96,1.079
4.87,K0III       ,7.15,1.038
3.13,A0V         ,8.91,0.116
13.88,F8/G0V      ,8.65,0.552
17.69,F3/F5IV     ,5.34,0.454
5.76,F0V         ,9.17,0.373
2.8,B9.5V       ,7.91,0.152
16.55,F7V         ,8.14,0.538
8.42,A7V         ,7.6,0.276
3.1,K2III       ,7.93,1.536
11.3,F5IV/V      ,7.04,0.435
0.97,K1III       ,8.37,1.363
14.08,G2V         ,7.89,0.632
3.94,A0V         ,6.57,0.041
6.98,F3/F5V      ,8.97,0.477
5.95,K1III       ,7.77,1.168
6.07,F8V         ,9.72,0.57
4.09,A0V         ,8.91,0.078
5.46,A4IV        ,7.2,0.2
11.79,F0/F2IV     ,7.12,0.351
16.56,G3V         ,8.97,0.65
8.93,G0V         ,8.14,0.633
4.53,G8IV/V      ,9.44,0.94
6.77,G0          ,9.97,0.64
4.53,K0/K1III:   ,9.33,1.132
